Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1954      35-39    2694159.02   2298581.26   4992740.28
1954      40-44    2528827.13   2281542.79   4810369.92
1954      45-49    2074046.85   2033416.51   4107463.36
1954      50-54    1849994.11   1875586.29   3725580.40
1954      55-59    1516607.14   1525258.35   3041865.49
1954      60-64    1232541.44   1174686.11   2407227.55
1954      65-69     997590.21    855398.22   1852988.43
1954      70-74     777430.22    571167.14   1348597.36
1954      75-79     498619.06    319148.69    817767.75
1954      80-84     205283.35    112538.72    317822.07
1954      85-89      69995.99     31100.28    101096.27
1954      90-94      11558.34      4127.25     15685.59
1954      95-99       1437.04       458.02      1895.06
1954     100-104        80.00        30.00       110.00
1954     105-109         9.00         3.00        12.00
1954     110+            0.00         0.00         0.00
1955       0        832194.70    876571.21   1708765.91
1955       1-4     3853892.06   4021269.23   7875161.29
1955       5-9     5140167.71   5348018.26  10488185.97
1955      10-14    4715852.54   4837192.53   9553045.07
1955      15-19    4241246.99   4293087.81   8534334.80
1955      20-24    4136646.92   4132884.18   8269531.10
1955      25-29    3763945.04   3673451.94   7437396.98
1955      30-34    3247425.92   2648096.02   5895521.94
1955      35-39    2700978.78   2266507.76   4967486.54
1955      40-44    2578718.04   2298999.22   4877717.26
1955      45-49    2162746.98   2082371.11   4245118.09
1955      50-54    1889434.74   1903922.35   3793357.09
1955      55-59    1555380.81   1563313.08   3118693.89
1955      60-64    1245239.85   1195048.49   2440288.34
1955      65-69    1026500.12    892983.85   1919483.97
1955      70-74     788255.91    582482.16   1370738.07
1955      75-79     520627.64    333681.92    854309.56
1955      80-84     224419.64    123220.89    347640.53
1955      85-89      73267.81     32304.71    105572.52
1955      90-94      13229.13      4755.21     17984.34
1955      95-99       1499.00       447.00      1946.00
1955     100-104        95.00        23.00       118.00
1955     105-109        11.00         5.00        16.00
1955     110+            2.00         0.00         2.00
1956       0        819477.23    860611.24   1680088.47
1956       1-4     3606790.24   3766234.46   7373024.70
1956       5-9     5425652.97   5655067.61  11080720.58
1956      10-14    4595903.75   4715711.09   9311614.84
1956      15-19    4270594.32   4326451.67   8597045.99
1956      20-24    4198369.47   4188617.45   8386986.92
1956      25-29    3825740.86   3776564.71   7602305.57
1956      30-34    3329590.33   2827490.29   6157080.62
1956      35-39    2794649.92   2294606.57   5089256.49
1956      40-44    2615404.61   2305107.59   4920512.20
1956      45-49    2250177.94   2132586.71   4382764.65
1956      50-54    1910394.32   1910704.58   3821098.90
1956      55-59    1607142.29   1612093.89   3219236.18
1956      60-64    1280490.22   1235090.33   2515580.55
1956      65-69    1050383.79    922673.24   1973057.03
1956      70-74     796011.78    592969.74   1388981.52
1956      75-79     536348.05    344560.53    880908.58
1956      80-84     243905.80    134483.97    378389.77
1956      85-89      75115.36     33467.71    108583.07
1956      90-94      15808.16      5541.26     21349.42
1956      95-99       1583.00       449.00      2032.00
1956     100-104       104.00        26.00       130.00
1956     105-109        10.00         5.00        15.00
1956     110+            3.00         0.00         3.00
1957       0        784752.37    825402.90   1610155.27
1957       1-4     3427219.23   3582597.69   7009816.92
1957       5-9     5573690.08   5809715.23  11383405.31
1957      10-14    4458375.63   4578817.51   9037193.14
1957      15-19    4338854.42   4389706.74   8728561.16
1957      20-24    4238965.62   4229053.74   8468019.36
1957      25-29    3890888.81   3867104.18   7757992.99
1957      30-34    3444843.94   3064151.53   6508995.47
1957      35-39    2861250.74   2302520.82   5163771.56
1957      40-44    2642467.16   2306319.02   4948786.18
1957      45-49    2353579.47   2182149.83   4535729.30
1957      50-54    1911563.88   1899955.81   3811519.69
1957      55-59    1665916.52   1667342.63   3333259.15
1957      60-64    1328358.83   1282089.76   2610448.59
1957      65-69    1066698.35    945047.44   2011745.79
1957      70-74     793055.97    596815.68   1389871.65
1957      75-79     545897.56    351622.69    897520.25
1957      80-84     264662.75    145557.71    410220.46
1957      85-89      77939.62     34828.59    112768.21
1957      90-94      16677.20      5856.26     22533.46
1957      95-99       1531.00       443.00      1974.00
1957     100-104       105.00        28.00       133.00
1957     105-109         9.00         5.00        14.00
1957     110+            3.00         0.00         3.00
1958       0        741449.05    779262.70   1520711.75
1958       1-4     3277157.36   3431379.29   6708536.65
1958       5-9     5343236.24   5567753.99  10910990.23
1958      10-14    4635512.02   4779144.15   9414656.17
1958      15-19    4431842.97   4476118.33   8907961.30
1958      20-24    4247612.02   4228766.65   8476378.67
1958      25-29    3961200.51   3950521.26   7911721.77
1958      30-34    3539620.05   3291571.35   6831191.40
1958      35-39    2958424.28   2351139.39   5309563.67
1958      40-44    2647859.49   2286561.63   4934421.12
1958      45-49    2419455.73   2200616.76   4620072.49
1958      50-54    1952282.11   1919392.57   3871674.68
1958      55-59    1726872.06   1717322.28   3444194.34
1958      60-64    1366182.12   1319200.30   2685382.42
1958      65-69    1082553.15    963973.20   2046526.35
1958      70-74     803169.73    613841.62   1417011.35
1958      75-79     552314.10    354959.17    907273.27
1958      80-84     275972.59    150181.93    426154.52
1958      85-89      81139.87     36656.58    117796.45
1958      90-94      17065.17      5875.25     22940.42
1958      95-99       1520.98       435.00      1955.98
1958     100-104       105.00        27.00       132.00
1958     105-109         4.00         3.00         7.00
1958     110+            1.00         0.00         1.00
1959       0        780319.06    818702.33   1599021.39
1959       1-4     3145980.29   3297906.24   6443886.53
1959       5-9     5009042.81   5220106.00  10229148.81
1959      10-14    4883191.01   5054065.77   9937256.78
1959      15-19    4550437.60   4593343.39   9143780.99
1959      20-24    4210909.49   4177276.91   8388186.40
1959      25-29    4020086.93   4011539.29   8031626.22
1959      30-34    3631255.36   3496191.24   7127446.60
1959      35-39    3081128.02   2454178.73   5535306.75
1959      40-44    2646380.65   2254295.81   4900676.46
1959      45-49    2475135.14   2219817.95   4694953.09
1959      50-54    2008305.65   1945454.87   3953760.52
1959      55-59    1774898.28   1756609.13   3531507.41
1959      60-64    1415089.21   1364719.59   2779808.80
1959      65-69    1096508.44    980107.31   2076615.75
1959      70-74     821737.61    642963.50   1464701.11
1959      75-79     563325.79    363173.14    926498.93
1959      80-84     289800.78    157792.18    447592.96
1959      85-89      89507.20     40681.99    130189.19
1959      90-94      19293.04      6730.26     26023.30
1959      95-99       1714.98       474.99      2189.97
1959     100-104       116.00        37.00       153.00
1959     105-109         0.00         3.00         3.00
1959     110+            1.00         0.00         1.00
1960       0        773110.51    812640.16   1585750.67
1960       1-4     3086829.55   3232129.00   6318958.55
1960       5-9     4658081.21   4860191.98   9518273.19
1960      10-14    5132922.06   5332315.36  10465237.42
1960      15-19    4667825.49   4711325.19   9379150.68
1960      20-24    4161751.25   4109907.82   8271659.07
1960      25-29    4058069.03   4046761.36   8104830.39
1960      30-34    3713033.14   3646177.51   7359210.65
1960      35-39    3205479.16   2619358.95   5824838.11
1960      40-44    2653457.87   2224249.71   4877707.58
1960      45-49    2520987.93   2234742.50   4755730.43
1960      50-54    2094851.86   1992854.36   4087706.22
1960      55-59    1812352.58   1782183.36   3594535.94
1960      60-64    1452636.79   1399740.44   2852377.23
1960      65-69    1111216.10   1000760.15   2111976.25
1960      70-74     850646.38    674434.85   1525081.23
1960      75-79     572056.02    371210.39    943266.41
1960      80-84     301809.02    164627.81    466436.83
1960      85-89      98418.09     44395.91    142814.00
1960      90-94      20115.77      7109.15     27224.92
1960      95-99       2049.97       537.99      2587.96
1960     100-104       119.00        30.00       149.00
1960     105-109         4.00         2.00         6.00
1960     110+            1.00         0.00         1.00
1961       0        760797.01    798033.16   1558830.17
1961       1-4     3034095.31   3173026.43   6207121.74
1961       5-9     4410819.70   4604129.59   9014949.29
1961      10-14    5421338.76   5639646.28  11060985.04
1961      15-19    4542595.63   4590990.25   9133585.88
1961      20-24    4190943.74   4126756.18   8317699.92
1961      25-29    4110900.13   4089464.26   8200364.39
1961      30-34    3770486.38   3750948.88   7521435.26
1961      35-39    3286354.69   2797192.07   6083546.76
1961      40-44    2746536.87   2253526.34   5000063.21
1961      45-49    2556545.29   2240909.64   4797454.93
1961      50-54    2179663.41   2041552.15   4221215.56
1961      55-59    1829032.40   1785930.64   3614963.04
1961      60-64    1503733.36   1444167.65   2947901.01
1961      65-69    1143539.25   1035000.14   2178539.39
1961      70-74     872533.93    696518.18   1569052.11
1961      75-79     575584.47    376024.21    951608.68
1961      80-84     309972.96    168229.48    478202.44
1961      85-89     105255.03     47406.50    152661.53
1961      90-94      20349.26      7131.03     27480.29
1961      95-99       2380.95       623.99      3004.94
1961     100-104       108.00        32.00       140.00
1961     105-109         7.00         0.00         7.00
1961     110+            1.00         0.00         1.00
1962       0        757357.17    797221.90   1554579.07
1962       1-4     3024958.45   3158474.42   6183432.87
1962       5-9     4197826.43   4375650.64   8573477.07
1962      10-14    5571828.64   5779865.55  11351694.19
1962      15-19    4411138.05   4465770.28   8876908.33
1962      20-24    4280909.78   4226527.21   8507436.99
1962      25-29    4165352.51   4140152.17   8305504.68
1962      30-34    3841174.69   3848572.90   7689747.59
1962      35-39    3402562.70   3035654.48   6438217.18
1962      40-44    2814272.54   2263957.09   5078229.63
1962      45-49    2586730.41   2245380.87   4832111.28
1962      50-54    2278779.20   2093250.36   4372029.56
1962      55-59    1827950.39   1776766.40   3604716.79
1962      60-64    1560956.29   1498684.59   3059640.88
1962      65-69    1188992.00   1076927.91   2265919.91
1962      70-74     888262.50    715265.09   1603527.59
1962      75-79     574779.34    379898.76    954678.10
1962      80-84     317641.93    172544.88    490186.81
1962      85-89     114198.62     50746.64    164945.26
1962      90-94      21071.42      7583.83     28655.25
1962      95-99       2523.95       673.95      3197.90
1962     100-104       113.00        34.00       147.00
1962     105-109        10.00         0.00        10.00
1962     110+            1.00         0.00         1.00
1963       0        771097.40    812884.97   1583982.37
1963       1-4     3042837.33   3177421.70   6220259.03
1963       5-9     4016375.80   4182114.52   8198490.32
1963      10-14    5345968.78   5532395.36  10878364.14
1963      15-19    4595892.13   4663951.71   9259843.84
1963      20-24    4386233.97   4338441.60   8724675.57
1963      25-29    4195572.50   4163512.36   8359084.86
1963      30-34    3919606.36   3942621.03   7862227.39
1963      35-39    3500673.30   3266014.42   6766687.72
1963      40-44    2912772.05   2314624.86   5227396.91
1963      45-49    2596058.35   2229751.12   4825809.47
1963      50-54    2340947.98   2112471.01   4453418.99
1963      55-59    1869452.36   1801869.19   3671321.55
1963      60-64    1618142.20   1547226.38   3165368.58
1963      65-69    1225853.83   1111679.94   2337533.77
1963      70-74     903624.12    732430.42   1636054.54
1963      75-79     584830.43    392456.12    977286.55
1963      80-84     323464.66    174956.01    498420.67
1963      85-89     118783.41     51801.04    170584.45
